Latitude,Longitude,Pb,Cu,Region
43.094141,-83.609736,0,0,North
43.090535,-83.703444,0,130,North
43.086012,-83.719962,4,170,North
43.080998,-83.754148,0,0,North
43.074352,-83.700434,0,0,North
43.073992,-83.717884,0,0,North
43.073942,-83.715937,0,0,North
43.073876,-83.667341,0,95,North
43.073821,-83.696753,0,50,North
43.073701,-83.687918,0,0,North
43.073555,-83.712064,0,80,North
43.073555,-83.711876,0,0,North
43.072744,-83.716252,3,60,North
43.072399,-83.723806,0,0,North
43.072135,-83.712275,0,0,North
43.071902,-83.71478,0,80,North
43.071738,-83.685223,2,130,North
43.07158,-83.685235,0,0,North
43.071497,-83.688766,8,90,North
43.071096,-83.700171,0,0,North
43.071017,-83.713434,0,0,North
43.070909,-83.720816,0,0,North
43.070456,-83.714428,1,0,North
43.070446,-83.721819,1,0,North
43.069284,-83.71917,0,0,North
43.069279,-83.719453,0,0,North
43.069135,-83.66709,0,0,North
43.068843,-83.732273,0,0,North
43.068367,-83.719105,0,0,North
43.068268,-83.720964,0,0,North
43.067351,-83.726208,0,0,North
43.066832,-83.654321,0,0,North
43.066807,-83.667172,0,0,North
43.066694,-83.721791,0,0,North
43.066276,-83.685947,0,0,North
43.064876,-83.712442,0,100,North
43.064277,-83.716198,2,0,North
43.064273,-83.724001,0,0,North
43.064154,-83.725183,0,0,North
43.064139,-83.725444,0,0,North
43.06392,-83.724819,0,0,North
43.06366,-83.693121,0,0,North
43.063263,-83.700171,0,0,North
43.062756,-83.65589,2,0,North
43.062704,-83.683723,0,0,North
43.062479,-83.721096,0,0,North
43.061555,-83.716917,0,0,North
43.061131,-83.720924,0,80,North
43.061126,-83.655529,0,0,North
43.061119,-83.721488,9,160,North
43.060887,-83.717636,11,300,North
43.060748,-83.752122,0,60,North
43.060596,-83.71769,2,320,North
43.060437,-83.69099,11,0,North
43.059824,-83.6547,0,0,North
43.05959,-83.725759,0,0,North
43.059118,-83.652703,0,0,North
43.058958,-83.725657,0,220,North
43.058939,-83.649458,0,0,North
43.058934,-83.70996,0,0,North
43.058501,-83.652065,3,160,North
43.057667,-83.698286,0,0,North
43.057447,-83.68822,0,0,North
43.056802,-83.725936,0,0,North
43.056741,-83.696036,0,90,North
43.05609,-83.730505,0,0,North
43.05493,-83.726358,0,0,North
43.054855,-83.727789,0,0,North
43.054712,-83.708395,6.5,0,North
43.0547,-83.709179,4.5,0,North
43.054606,-83.731481,1,0,North
43.054452,-83.730738,0,60,North
43.052999,-83.729477,0,0,North
43.052616,-83.650886,0,0,North
43.052495,-83.624521,0,130,North
43.05217,-83.726138,0,25,North
43.052057,-83.700794,6,0,North
43.052032,-83.652551,0,0,North
43.052001,-83.725684,0,80,North
43.051621,-83.723828,4,170,North
43.051434,-83.71815,9.5,40,North
43.050775,-83.69885,3.5,0,North
43.049859,-83.651898,0,0,North
