Date,     Extent
2/1/1988,3.22623
3/1/1988,2.75055
4/1/1988,4.95231
5/1/1988,7.79695
6/1/1988,11.52299
7/1/1988,14.52044
8/1/1988,17.02351
9/1/1988,17.75059
10/1/1988,18.65573
11/1/1988,17.57495
12/1/1988,14.07653
1/1/1989,7.0839
2/1/1989,3.42042
3/1/1989,3.05005
4/1/1989,4.98043
5/1/1989,8.33256
6/1/1989,12.15056
7/1/1989,15.02017
8/1/1989,16.80163
9/1/1989,18.11163
10/1/1989,17.92292
11/1/1989,17.00647
12/1/1989,13.38235
1/1/1990,6.7709
2/1/1990,3.46024
3/1/1990,2.90171
4/1/1990,5.58189
5/1/1990,8.35741
6/1/1990,11.49436
7/1/1990,14.46884
8/1/1990,16.79591
9/1/1990,18.1813
10/1/1990,18.32153
11/1/1990,17.00491
12/1/1990,12.89212
1/1/1991,7.0953
2/1/1991,3.97033
3/1/1991,2.57467
4/1/1991,5.55761
5/1/1991,8.69154
6/1/1991,11.69698
7/1/1991,14.41728
8/1/1991,16.88449
9/1/1991,17.9684
10/1/1991,18.55294
11/1/1991,17.01892
12/1/1991,13.35391
1/1/1992,6.65621
2/1/1992,3.40125
3/1/1992,2.65882
4/1/1992,5.06055
5/1/1992,8.50667
6/1/1992,11.42564
7/1/1992,14.52958
8/1/1992,17.00965
9/1/1992,18.07096
10/1/1992,17.93842
11/1/1992,17.1675
12/1/1992,13.6886
1/1/1993,6.28367
2/1/1993,2.96335
3/1/1993,2.39844
4/1/1993,5.15899
5/1/1993,8.52011
6/1/1993,11.74582
7/1/1993,14.68893
8/1/1993,16.8231
9/1/1993,18.49404
10/1/1993,18.62536
11/1/1993,17.4334
12/1/1993,13.7575
1/1/1994,6.72392
2/1/1994,3.4988
3/1/1994,3.36739
4/1/1994,6.00128
5/1/1994,8.73256
6/1/1994,12.13175
7/1/1994,14.93227
8/1/1994,17.28645
9/1/1994,18.75156
10/1/1994,18.70507
11/1/1994,17.64971
12/1/1994,13.1497
1/1/1995,7.4135
2/1/1995,4.13123
3/1/1995,3.61842
4/1/1995,5.82407
5/1/1995,8.64013
6/1/1995,12.11704
7/1/1995,14.68841
8/1/1995,16.93746
9/1/1995,18.0423
10/1/1995,18.53614
11/1/1995,17.0038
12/1/1995,13.42178
1/1/1996,7.72911
2/1/1996,3.7171
3/1/1996,2.81785
4/1/1996,5.70002
5/1/1996,9.13777
6/1/1996,12.76971
7/1/1996,14.92156
8/1/1996,17.13
9/1/1996,18.46712
10/1/1996,18.44304
11/1/1996,17.27446
12/1/1996,13.11588
1/1/1997,6.08773
2/1/1997,3.01259
3/1/1997,2.37723
4/1/1997,4.81185
5/1/1997,8.31946
6/1/1997,11.64395
7/1/1997,14.52237
8/1/1997,17.05029
9/1/1997,18.32888
10/1/1997,18.36802
11/1/1997,17.15576
12/1/1997,13.33671
1/1/1998,6.23769
2/1/1998,3.36607
3/1/1998,2.8128
4/1/1998,5.49655
5/1/1998,8.71902
6/1/1998,11.77524
7/1/1998,14.79087
8/1/1998,17.13237
9/1/1998,18.43434
10/1/1998,18.96229
11/1/1998,17.83346
12/1/1998,14.15579
1/1/1999,6.52762
2/1/1999,3.59466
3/1/1999,2.77009
4/1/1999,5.46599
5/1/1999,8.63003
6/1/1999,12.28228
7/1/1999,15.2711
8/1/1999,17.21593
9/1/1999,18.42048
10/1/1999,18.92121
11/1/1999,17.35938
12/1/1999,13.89692
1/1/2000,6.92259
2/1/2000,3.42313
3/1/2000,2.98445
4/1/2000,5.34919
5/1/2000,8.96296
6/1/2000,12.58209
7/1/2000,15.12642
8/1/2000,17.28935
9/1/2000,18.57831
10/1/2000,18.96114
11/1/2000,17.25559
12/1/2000,13.35499
1/1/2001,6.67788
2/1/2001,4.13728
3/1/2001,3.78073
4/1/2001,5.7257
5/1/2001,8.75854
6/1/2001,11.90486
7/1/2001,14.82075
8/1/2001,16.9039
9/1/2001,17.59575
10/1/2001,18.31617
11/1/2001,16.92359
12/1/2001,13.65665
1/1/2002,6.95624
2/1/2002,3.39996
3/1/2002,3.01605
4/1/2002,4.6122
5/1/2002,8.34025
6/1/2002,10.82754
7/1/2002,14.06035
8/1/2002,16.44931
9/1/2002,18.03999
10/1/2002,17.85257
11/1/2002,17.30946
12/1/2002,13.29533
1/1/2003,7.49593
2/1/2003,4.186
3/1/2003,3.64319
4/1/2003,5.61615
5/1/2003,9.01506
6/1/2003,12.72032
7/1/2003,15.3324
8/1/2003,17.32565
9/1/2003,17.92953
10/1/2003,18.57032
11/1/2003,17.72545
12/1/2003,14.06432
1/1/2004,7.37396
2/1/2004,4.08843
3/1/2004,3.60375
4/1/2004,5.74805
5/1/2004,8.90094
6/1/2004,12.26208
7/1/2004,15.19633
8/1/2004,17.41287
9/1/2004,18.78136
10/1/2004,18.92825
11/1/2004,17.67507
12/1/2004,13.69463
1/1/2005,6.82167
2/1/2005,3.25805
3/1/2005,3.08525
4/1/2005,5.49015
5/1/2005,8.66666
6/1/2005,11.96694
7/1/2005,14.83031
8/1/2005,17.5654
9/1/2005,18.20577
10/1/2005,19.14721
11/1/2005,17.82767
12/1/2005,13.69718
1/1/2006,6.25736
2/1/2006,2.8976
3/1/2006,2.56074
4/1/2006,4.4945
5/1/2006,7.59431
6/1/2006,11.80849
7/1/2006,14.92461
8/1/2006,17.06521
9/1/2006,19.03001
10/1/2006,19.06359
11/1/2006,17.94505
12/1/2006,13.48742
1/1/2007,6.71253
2/1/2007,3.17993
3/1/2007,3.05503
4/1/2007,4.89874
5/1/2007,8.02441
6/1/2007,11.75182
7/1/2007,14.78417
8/1/2007,17.28966
9/1/2007,18.5163
10/1/2007,19.01313
11/1/2007,17.66578
12/1/2007,14.04428
1/1/2008,9.12023
2/1/2008,4.25323
3/1/2008,4.10405
4/1/2008,6.67311
5/1/2008,9.61435
6/1/2008,12.5625
7/1/2008,15.1545
8/1/2008,17.05203
9/1/2008,18.16162
10/1/2008,18.12653
11/1/2008,17.81698
12/1/2008,14.39551
1/1/2009,8.00707
2/1/2009,3.62301
3/1/2009,3.0901
4/1/2009,6.07193
5/1/2009,9.3387
6/1/2009,12.44008
7/1/2009,15.10944
8/1/2009,17.24842
9/1/2009,18.60009
10/1/2009,18.8563
11/1/2009,17.38023
12/1/2009,13.66382
1/1/2010,7.45592
2/1/2010,3.57205
3/1/2010,3.12418
4/1/2010,5.04823
5/1/2010,8.67201
6/1/2010,12.88751
7/1/2010,16.00369
8/1/2010,17.82209
9/1/2010,18.83238
10/1/2010,18.81153
11/1/2010,17.90483
12/1/2010,14.87863
