x	y	cadmium	copper	lead	zinc
181072	333611	11.7	85	299	1022
181025	333558	8.6	81	277	1141
181165	333537	6.5	68	199	640
181298	333484	2.6	81	116	257
181307	333330	2.8	48	117	269
181390	333260	3	61	137	281
181165	333370	3.2	31	132	346
181191	333115	1.4	25	86	189
181032	333031	1.8	25	97	251
180969	333252	2.5	31	183	504
181011	333161	2	27	130	326
180830	333246	9.5	86	240	1032
180763	333104	7	74	133	606
180694	332972	7.1	69	148	711
180625	332847	8.7	69	207	735
180555	332707	12.9	95	284	1052
180642	332708	5.5	53	194	673
180704	332717	2.8	35	123	402
180704	332664	2.9	35	110	343
181153	332925	1.7	24	85	218
181147	332823	1.4	26	75	200
181167	332778	1.5	22	76	194
181008	332777	1.3	27	73	207
180973	332687	1.3	24	67	180
180916	332753	1.8	22	87	240
181352	332946	1.5	21	65	180
181133	332570	1.3	29	78	208
180878	332489	1.3	21	64	198
180829	332450	2.1	27	77	250
180954	332399	1.2	26	80	192
180956	332318	1.6	27	82	213
180710	332330	3	32	97	321
180632	332445	5.8	50	166	569
180530	332538	7.9	67	217	833
180478	332578	8.1	77	219	906
180383	332476	14.1	108	405	1454
180494	332330	2.4	32	102	298
180561	332193	1.2	21	48	167
180451	332175	1.7	22	65	176
180410	332031	1.3	21	62	258
180355	332299	4.2	51	281	746
180292	332157	4.3	50	294	746
180283	332014	3.1	38	211	464
180282	331861	1.7	26	135	365
180270	331707	1.7	24	112	282
180199	331591	2.1	32	162	375
180135	331552	1.7	24	94	222
180237	332351	8.2	47	191	812
180103	332297	17	128	405	1548
179973	332255	12	117	654	1839
179826	332217	9.4	104	482	1528
179687	332161	8.2	76	276	933
179792	332035	2.6	36	180	432
179902	332113	3.5	34	207	550
180100	332213	10.9	90	541	1571
179604	332059	7.3	80	310	1190
179526	331936	9.4	78	210	907
179495	331770	8.3	77	158	761
179489	331633	7	65	141	659
179414	331494	6.8	66	144	643
179334	331366	7.4	72	181	801
179255	331264	6.6	75	173	784
179470	331125	7.8	75	399	1060
179692	330933	0.7	22	45	119
179852	330801	3.4	55	325	778
179140	330955	3.9	47	268	703
179128	330867	3.5	46	252	676
179065	330864	4.7	55	315	793
179007	330727	3.9	49	260	685
179110	330758	3.1	39	237	593
179032	330645	2.9	45	228	549
179095	330636	3.9	48	241	680
179058	330510	2.7	36	201	539
178810	330666	2.5	36	204	560
178912	330779	5.6	68	429	1136
178981	330924	9.4	88	462	1383
179076	331005	10.8	85	333	1161
180151	330353	18.1	76	464	1672
179211	331175	6.3	63	159	765
181118	333214	2.1	32	116	279
179474	331304	1.8	25	81	241
179559	331423	2.2	27	131	317
179022	330873	2.8	36	216	545
178953	330742	2.4	41	145	505
178875	330516	2.6	33	163	420
178803	330349	1.8	27	129	332
179029	330394	2	38	148	400
178605	330406	2.7	37	214	553
178701	330557	2.7	34	226	577
179547	330245	0.9	19	54	155
179301	330179	0.9	22	70	224
179405	330567	0.4	26	73	180
179462	330766	0.8	25	87	226
179293	330797	0.4	22	76	186
179180	330710	0.4	24	81	198
179206	330398	0.4	18	68	187
179618	330458	0.8	23	66	199
179782	330540	0.4	22	49	157
179980	330773	0.4	23	63	203
180067	331185	0.4	23	48	143
180162	331387	0.2	23	51	136
180451	331473	0.2	18	50	117
180328	331158	0.4	20	39	113
180276	330963	0.2	22	48	130
180114	330803	0.2	27	64	192
179881	330912	0.4	25	84	240
179774	330921	0.2	30	67	221
179657	331150	0.2	23	49	140
179731	331245	0.2	24	48	128
179717	331441	0.2	21	56	166
179446	331422	0.2	24	65	191
179524	331565	0.2	21	84	232
179644	331730	0.2	23	75	203
180321	330366	3.7	53	250	722
180162	331837	0.2	33	81	210
180029	331720	0.2	22	72	198
179797	331919	0.2	23	86	139
179642	331955	0.2	25	94	253
179849	332142	1.2	30	244	703
180265	332297	2.4	47	297	832
180107	332101	0.2	31	96	262
180462	331947	0.2	20	56	142
180478	331822	0.2	16	49	119
180347	331700	0.2	17	50	152
180862	333116	0.4	26	148	415
180700	332882	1.6	34	162	474
180201	331160	0.8	18	37	126
180173	331923	1.2	23	80	210
180923	332874	0.2	20	80	220
180467	331694	0.2	14	49	133
179917	331325	0.8	46	42	141
179822	331242	1	29	48	158
179991	331069	0.8	19	41	129
179120	330578	1.2	31	73	206
179034	330561	2	27	146	451
179085	330433	1.5	29	95	296
179236	330046	1.1	22	72	189
179456	330072	0.8	20	51	154
179550	329940	0.8	20	54	169
179445	329807	2.1	29	136	403
179337	329870	2.5	38	170	471
179245	329714	3.8	39	179	612
179024	329733	3.2	35	200	601
178786	329822	3.1	42	258	783
179135	329890	1.5	24	93	258
179030	330082	1.2	20	68	214
179184	330182	0.8	20	49	166
179085	330292	3.1	39	173	496
178875	330311	2.1	31	119	342
179466	330381	0.8	21	51	162
180627	330190	2.7	27	124	375
